q,N0,singer,hyb2,ext2,N2,hyb4,ext4,N4,ratio2,ratio4
2,6,3,5,2,12,6,3,24,1.074569931823542,1.3554030054147672
3,12,4,6,2,24,8,4,48,0.9036020036098448,1.519671371303185
5,30,6,8,2,60,11,5,120,0.7186082239261685,1.5106876986783841
7,56,8,11,3,112,14,6,224,0.9221822294268966,1.5509194618715116
11,132,12,16,4,264,20,8,528,0.9923366000680726,1.6689045794446025
13,182,14,17,3,364,22,8,728,0.6868247058200972,1.5401291547514853
17,306,18,22,4,612,29,11,1224,0.8042149381624011,1.8597190111341897
19,380,20,23,3,760,30,10,1520,0.571370556250062,1.6015448417739933
23,552,24,28,4,1104,36,12,2208,0.693933290989182,1.750578050454048
29,870,30,34,4,1740,42,12,3480,0.6193308010976907,1.5623791514977783
31,992,32,36,4,1984,46,14,3968,0.5993418090318328,1.7639453255429056
37,1406,38,43,5,2812,52,14,5624,0.6866195664288532,1.6166526097486307
41,1722,42,46,4,3444,57,15,6888,0.5221487054818759,1.6465236550090387
43,1892,44,48,4,3784,58,14,7568,0.5100023877443537,1.501007128687717
47,2256,48,52,4,4512,62,14,9024,0.48805382251362955,1.4364094843090431
