q,N,F2_lower,sqrtN,delta,N_quarter,delta_over_Nquarter,log_q,log_delta
2,6,3,2.449490,0.550510,1.565085,0.351745,0.6931,-0.5969
3,12,4,3.464102,0.535898,1.861210,0.287930,1.0986,-0.6238
5,30,6,5.477226,0.522774,2.340347,0.223375,1.6094,-0.6486
7,56,8,7.483315,0.516685,2.735565,0.188877,1.9459,-0.6603
11,132,12,11.489125,0.510875,3.389561,0.150720,2.3979,-0.6716
13,182,14,13.490738,0.509262,3.672974,0.138651,2.5649,-0.6748
17,306,18,17.492856,0.507144,4.182446,0.121255,2.8332,-0.6790
19,380,20,19.493589,0.506411,4.415154,0.114698,2.9444,-0.6804
23,552,24,23.494680,0.505320,4.847131,0.104251,3.1355,-0.6826
29,870,30,29.495762,0.504238,5.431000,0.092844,3.3673,-0.6847
31,992,32,31.496031,0.503969,5.612133,0.089800,3.4340,-0.6852
37,1406,38,37.496667,0.503333,6.123452,0.082198,3.6109,-0.6865
41,1722,42,41.496988,0.503012,6.441816,0.078085,3.7136,-0.6871
43,1892,44,43.497126,0.502874,6.595235,0.076248,3.7612,-0.6874
47,2256,48,47.497368,0.502632,6.891833,0.072931,3.8501,-0.6879
53,2862,54,53.497664,0.502336,7.314210,0.068680,3.9703,-0.6885
59,3540,60,59.497899,0.502101,7.713488,0.065094,4.0775,-0.6890
61,3782,62,61.497967,0.502033,7.842064,0.064018,4.1109,-0.6891
67,4556,68,67.498148,0.501852,8.215726,0.061084,4.2047,-0.6895
71,5112,72,71.498252,0.501748,8.455664,0.059339,4.2627,-0.6897
73,5402,74,73.498299,0.501701,8.573115,0.058520,4.2905,-0.6898
79,6320,80,79.498428,0.501572,8.916189,0.056254,4.3694,-0.6900
83,6972,84,83.498503,0.501497,9.137752,0.054882,4.4188,-0.6902
89,8010,90,89.498603,0.501397,9.460370,0.053000,4.4886,-0.6904
97,9506,98,97.498718,0.501282,9.874144,0.050767,4.5747,-0.6906
101,10302,102,101.498768,0.501232,10.074660,0.049752,4.6151,-0.6907
103,10712,104,103.498792,0.501208,10.173436,0.049266,4.6347,-0.6907
107,11556,108,107.498837,0.501163,10.368165,0.048337,4.6728,-0.6908
109,11990,110,109.498858,0.501142,10.464170,0.047891,4.6913,-0.6909
113,12882,114,113.498899,0.501101,10.653586,0.047036,4.7274,-0.6909
127,16256,128,127.499020,0.500980,11.291546,0.044368,4.8442,-0.6912
131,17292,132,131.499049,0.500951,11.467303,0.043685,4.8752,-0.6912
137,18906,138,137.499091,0.500909,11.726001,0.042718,4.9200,-0.6913
139,19460,140,139.499104,0.500896,11.810974,0.042409,4.9345,-0.6914
149,22350,150,149.499164,0.500836,12.226985,0.040962,5.0039,-0.6915
151,22952,152,151.499175,0.500825,12.308500,0.040689,5.0173,-0.6915
157,24806,158,157.499206,0.500794,12.549869,0.039904,5.0562,-0.6916
163,26732,164,163.499235,0.500765,12.786682,0.039163,5.0938,-0.6916
167,28056,168,167.499254,0.500746,12.942150,0.038691,5.1180,-0.6917
173,30102,174,173.499280,0.500720,13.171913,0.038014,5.1533,-0.6917
179,32220,180,179.499304,0.500696,13.397735,0.037372,5.1874,-0.6918
